S(kJ/mol) T(K)	P(atm)
86.82	300.00	1.00
76.23	300.00	70.00
75.90	300.00	80.00
75.60	300.00	90.00
126.69	400.00	1.00
112.55	400.00	70.00
112.09	400.00	80.00
111.71	400.00	90.00
172.09	500.00	1.00
154.43	500.00	70.00
153.89	500.00	80.00
153.39	500.00	90.00
222.51	600.00	1.00
201.33	600.00	70.00
200.66	600.00	80.00
200.08	600.00	90.00
277.40	700.00	1.00
252.67	700.00	70.00
251.92	700.00	80.00
251.21	700.00	90.00
336.27	800.00	1.00
308.03	800.00	70.00
307.15	800.00	80.00
306.35	800.00	90.00
398.78	900.00	1.00
366.98	900.00	70.00
365.97	900.00	80.00
365.10	900.00	90.00
464.51	1000.00	1.00
429.19	1000.00	70.00
428.07	1000.00	80.00
427.10	1000.00	90.00
533.25	1100.00	1.00
494.38	1100.00	70.00
493.17	1100.00	80.00
492.08	1100.00	90.00
604.71	1200.00	1.00
562.33	1200.00	70.00
560.99	1200.00	80.00
559.82	1200.00	90.00
678.69	1300.00	1.00
632.79	1300.00	70.00
631.32	1300.00	80.00
630.07	1300.00	90.00
